Master_DB_Name,Impact_CSV_Name
KC Cariappa,KC Cariappa
DR Shorey,Dhruv Shorey
JL Denly,Joe Denly
Y Prithvi Raj,Prithvi Raj
KK Nair,Karun Nair
RK Bhui,Ricky Bhui
H Klaasen,Heinrich Klaasen
S Midhun,Sudhesan Midhun
SW Billings,Sam Billings
AJ Turner,Ashton Turner
BB Sran,Barinder Sran
GH Vihari,Hanuma Vihari
P Ray Barman,Prayas Ray Barman
NS Naik,Nikhil Naik
V Suryavanshi,Vaibhav Sooryavanshi
B Sai Sudharsan,Sai Sudharsan
Abhishek Sharma,Abhishek Sharma
MR Marsh,Mitchell Marsh
KH Pandya,Krunal Pandya
RM Patidar,Rajat Patidar
AR Patel,Axar Patel
E Malinga,Eshan Malinga
Nithish Kumar Reddy,Nitish Kumar Reddy
J Overton,Jamie Overton
C Green,Cameron Green
L Ngidi,Lungi Ngidi
RD Rickelton,Ryan Rickelton
Kartik Tyagi,Kartik Tyagi
A Kamboj,Anshul Kamboj
JO Holder,Jason Holder
D Padikkal,Devdutt Padikkal
FH Allen,Finn Allen
Noor Ahmad,Noor Ahmad
Dhruv Jurel,Dhruv Jurel
Priyansh Arya,Priyansh Arya
JR Hazlewood,Josh Hazlewood
TM Head,Travis Head
N Burger,Nandre Burger
Tilak Varma,Tilak Varma
AM Ghazanfar,AM Ghazanfar
YBK Jaiswal,Yashasvi Jaiswal
M Jansen,Marco Jansen
Sakib Hussain,Sakib Hussain
C Bosch,Corbin Bosch
PP Hinge,Praful Hinge
A Raghuvanshi,Angkrish Raghuvanshi
PJ Cummins,Pat Cummins
D Ferreira,Donovan Ferreira
C Connolly,Cooper Connolly
TH David,Tim David
P Nissanka,Pathum Nissanka
Naman Dhir,Naman Dhir
Mukesh Choudhary,Mukesh Choudhary
Yash Raj Punja,Yash Raj Punja
MA Starc,Mitchell Starc
JP Inglis,Josh Inglis
SA Yadav,Suryakumar Yadav
VG Arora,Vaibhav Arora
Kartik Sharma,Kartik Sharma
Sameer Rizvi,Sameer Rizvi
VR Iyer,Venkatesh Iyer
Shivang Kumar,Shivang Kumar
A Badoni,Ayush Badoni
HH Pandya,Hardik Pandya
Ravi Bishnoi,Ravi Bishnoi
AJ Hosein,Akeal Hosein
A Mhatre,Ayush Mhatre
RD Gaikwad,Ruturaj Gaikwad
JA Duffy,Jacob Duffy
WG Jacks,Will Jacks
Ashutosh Sharma,Ashutosh Sharma
Mukesh Kumar,Mukesh Kumar
Vijaykumar Vyshak,Vijaykumar Vyshak
Harsh Dubey,Harsh Dubey
T Stubbs,Tristan Stubbs
M Siddharth,Manimaran Siddharth
PD Salt,Phil Salt
Urvil Patel,Urvil Patel
R Powell,Rovman Powell
MD Choudhary,Mukul Choudhary
M Tiwari,Madhav Tiwari
XC Bartlett,Xavier Bartlett
SR Dubey,Saurabh Dubey
AK Markram,Aiden Markram
TU Deshpande,Tushar Deshpande
Shahbaz Ahmed,Shahbaz Ahmed
T Natarajan,T Natarajan
R Shepherd,Romario Shepherd
Salil Arora,Salil Arora
Suryansh Shedge,Suryansh Shedge
Azmatullah Omarzai,Azmatullah Omarzai
DS Rathi,Digvesh Rathi
Gurjapneet Singh,Gurjapneet Singh
Ashok Sharma,Ashok Sharma
D Brevis,Dewald Brevis
Abdul Samad,Abdul Samad
Abishek Porel,Abishek Porel
Ashwani Kumar,Ashwani Kumar
SH Johnson,Spencer Johnson
N Sindhu,Nishant Sindhu
MD Shanaka,Dasun Shanaka
SB Dubey,Shubham Dubey
Aniket Verma,Aniket Verma
JG Bethell,Jacob Bethell
GF Linde,George Linde
SU Parakh,Sahil Parakh
B Muzarabani,Blessing Muzarabani
V Nigam,Vipraj Nigam
KA Jamieson,Kyle Jamieson
RA Bawa,Raj Bawa
MJ Henry,Matt Henry
RS Ghosh,Ramakrishna Ghosh
D Madushanka,Dilshan Madushanka
MJ Suthar,Manav Suthar
MW Short,Matthew Short
Auqib Nabi,Auqib Nabi
R Sai Kishore,Sai Kishore
SS Mishra,Sushant Mishra
GD Phillips,Glenn Phillips
Arjun Tendulkar,Arjun Tendulkar
Yash Thakur,Yash Thakur
PR Veer,Prashant Veer
Abhinandan Singh,Abhinandan Singh
DA Payne,David Payne
HV Patel,Harshal Patel
TL Seifert,Tim Seifert
Vishnu Vinod,Vishnu Vinod
Kumar Kushagra,Kumar Kushagra
BJ Dwarshuis,Ben Dwarshuis
M Pathirana,Matheesha Pathirana
Ravi Singh,Ravi Singh
R Minz,Robin Minz
Akshat Raghuwanshi,Akshat Raghuwanshi
T Dahiya,Tejasvi Dahiya
N Wadhera,Nehal Wadhera
Mayank Rawat,Mayank Rawat
AF Milne,Adam Milne
LG Pretorius,Lhuan-dre Pretorius
PVD Chameera,Dushmantha Chameera
DV Malewar,Danish Malewar
R Smaran,Ravichandran Smaran
A Nortje,Anrich Nortje
T Vijay,Tripurana Vijay
Krish Bhagat,Krish Bhagat
AA Kulkarni,Arshin Kulkarni
Yash Dayal,Yash Dayal
Harshit Rana,Harshit Rana
PWH de Silva,Wanindu Hasaranga
M Theekshana,Maheesh Theekshana
Sandeep Sharma,Sandeep Sharma
R Ashwin,Ravichandran Ashwin
Mustafizur Rahman,Mustafizur Rahman
Zeeshan Ansari,Zeeshan Ansari
R Ravindra,Rachin Ravindra
GJ Maxwell,Glenn Maxwell
V Puthur,Vignesh Puthur
PHKD Mendis,Kamindu Mendis
DP Conway,Devon Conway
Akash Madhwal,Akash Madhwal
Akash Deep,Akash Deep
Yudhvir Singh,Yudhvir Singh
G Coetzee,Gerald Coetzee
N Thushara,Nuwan Thushara
Rahmanullah Gurbaz,Rahmanullah Gurbaz
K Kartikeya,Kumar Kartikeya
KT Maphaka,Kwena Maphaka
P Dubey,Praveen Dubey
RJ Gleeson,Richard Gleeson
SK Rasheed,Shaik Rasheed
BKG Mendis,Kusal Mendis
A Zampa,Adam Zampa
J Fraser-McGurk,Jake Fraser-McGurk
Sediqullah Atal,Sediqullah Atal
Atharva Taide,Atharva Taide
NT Ellis,Nathan Ellis
Sachin Baby,Sachin Baby
MP Breetzke,Matthew Breetzke
MS Bhandage,Manoj Bhandage
Musheer Khan,Musheer Khan
MJ Owen,Mitchell Owen
A Manohar,Abhinav Manohar
RJW Topley,Reece Topley
PVSN Raju,Satyanarayana Raju
PWA Mulder,Wiaan Mulder
C Sakariya,Chetan Sakariya
Simarjeet Singh,Simarjeet Singh
KS Rathore,Kunal Singh Rathore
Karim Janat,Karim Janat
Fazalhaq Farooqi,Fazalhaq Farooqi
DJ Mitchell,Daryl Mitchell
Naveen-ul-Haq,Naveen-ul-Haq
RR Rossouw,Rilee Rossouw
Swapnil Singh,Swapnil Singh
MP Yadav,Mayank Yadav
MM Sharma,Mohit Sharma
SD Hope,Shai Hope
KR Sen,Kuldeep Sen
J Little,Josh Little
V Kaverappa,Vidwath Kaverappa
V Viyaskanth,Vijayakanth Viyaskanth
DG Nalkande,Darshan Nalkande
KA Maharaj,Keshav Maharaj
Anuj Rawat,Anuj Rawat
Mayank Dagar,Mayank Dagar
JA Richardson,Jhye Richardson
Sikandar Raza,Sikandar Raza
LB Williams,Lizaad Williams
T Kohler-Cadmore,Tom Kohler-Cadmore
L Wood,Luke Wood
SS Prabhudessai,Suyash Prabhudessai
SZ Mulani,Shams Mulani
Tanush Kotian,Tanush Kotian
Gulbadin Naib,Gulbadin Naib
Saurav Chauhan,Saurav Chauhan
Umran Malik,Umran Malik
Suyash Sharma,Suyash Sharma
S Joseph,Shamar Joseph
BR Sharath,BR Sharath
MS Wade,Matthew Wade
KR Mayers,Kyle Mayers
JM Sharma,Jitesh Sharma
MA Wood,Mark Wood
WD Parnell,Wayne Parnell
M Shahrukh Khan,M Shahrukh Khan
MG Bracewell,Michael Bracewell
DJ Willey,David Willey
RP Meredith,Riley Meredith
HC Brook,Harry Brook
Akash Singh,Akash Singh
HR Shokeen,Hrithik Shokeen
PN Mankad,Prerak Mankad
RS Hangargekar,Rajvardhan Hangargekar
CJ Jordan,Chris Jordan
Arshad Khan,Arshad Khan
KM Asif,KM Asif
PBB Rajapaksa,Bhanuka Rajapaksa
K Yadav,Kuldip Yadav
N Jagadeesan,Narayan Jagadeesan
AU Rashid,Adil Rashid
D Wiese,David Wiese
D Jansen,Duan Jansen
SSB Magala,Sisanda Magala
D Pretorius,Dwaine Pretorius
PK Garg,Priyam Garg
JE Root,Joe Root
M Vohra,Manan Vohra
J Yadav,Jayant Yadav
Liton Das,Litton Das
OC McCoy,Obed McCoy
Abdul Basith,Abdul Basith
R Goyal,Raghav Goyal
YV Dhull,Yash Dhull
KS Sharma,Karan Sharma
Mohit Rathee,Mohit Rathee
DR Sams,Daniel Sams
M Ashwin,Murugan Ashwin
PJ Sangwan,Pradeep Sangwan
OF Smith,Odean Smith
TS Mills,Tymal Mills
AJ Finch,Aaron Finch
Shivam Mavi,Shivam Mavi
Shashank Singh,Shashank Singh
PH Solanki,Prashant Solanki
SA Abbott,Sean Abbott
FA Allen,Fabian Allen
JDS Neesham,James Neesham
KS Bharat,Srikar Bharat
Aman Hakim Khan,Aman Khan
Mandeep Singh,Mandeep Singh
HE van der Dussen,Rassie van der Dussen
SP Jackson,Sheldon Jackson
B Indrajith,Baba Indrajith
KL Nagarkoti,Kamlesh Nagarkoti
A Tomar,Abhijeet Tomar
NM Coulter-Nile,Nathan Coulter-Nile
CR Woakes,Chris Woakes
MC Henriques,Moises Henriques
JJ Roy,Jason Roy
Lalit Yadav,Lalit Yadav
TK Curran,Tom Curran
SS Tiwary,Saurabh Tiwary
GHS Garton,George Garton
EJG Morgan,Eoin Morgan
DT Christian,Dan Christian
IC Porel,Ishan Porel
LI Meriwala,Lukman Meriwala
Anmolpreet Singh,Anmolpreet Singh
KW Richardson,Kane Richardson
Jalaj S Saxena,Jalaj Saxena
DJ Malan,Dawid Malan
T Shamsi,Tabraiz Shamsi
Virat Singh,Virat Singh
JL Pattinson,James Pattinson
SS Cottrell,Sheldon Cottrell
I Udana,Isuru Udana
KV Sharma,Karn Sharma
JR Philippe,Josh Philippe
T Banton,Tom Banton
AT Carey,Alex Carey
CJ Green,Chris Green
Monu Kumar,Monu Kumar
SP Goswami,Shreevats Goswami
B Stanlake,Billy Stanlake
BB McCullum,Brendon McCullum
AD Hales,Alex Hales
LE Plunkett,Liam Plunkett
B Laughlin,Ben Laughlin
DJM Short,D'Arcy Short
MG Johnson,Mitchell Johnson
MK Tiwary,Manoj Tiwary
JPR Scantlebury-Searles,Javon Searles
CJ Anderson,Corey Anderson
G Gambhir,Gautam Gambhir
Anureet Singh,Anureet Singh
JP Duminy,Jean-Paul Duminy
Ankit Sharma,Ankit Sharma
CJ Dala,Junior Dala
A Dananjaya,Akila Dananjaya
NV Ojha,Naman Ojha
R Vinay Kumar,Vinay Kumar
HM Amla,Hashim Amla
DR Smith,Dwayne Smith
Z Khan,Zaheer Khan
SE Marsh,Shaun Marsh
S Badree,Samuel Badree
P Kumar,Praveen Kumar
A Choudhary,Aniket Choudhary
JP Faulkner,James Faulkner
LMP Simmons,Lendl Simmons
Bipul Sharma,Bipul Sharma
S Aravind,Sreenath Aravind
Ankit Soni,Ankit Soni
A Nehra,Ashish Nehra
R Bhatia,Rajat Bhatia
NB Singh,Nathu Singh
MM Patel,Munaf Patel
IR Jaggi,Ishank Jaggi
Iqbal Abdulla,Iqbal Abdulla
SS Agarwal,Shubham Agarwal
MN Samuels,Marlon Samuels
AB Dinda,Ashok Dinda
S Kaushik,Shivil Kaushik
AD Mathews,Angelo Mathews
DM Bravo,Darren Bravo
AP Tare,Aditya Tare
SB Jakati,Shadab Jakati
Tejas Baroka,Tejas Baroka
AR Bawne,Ankit Bawne
MS Gony,Manpreet Gony
IK Pathan,Irfan Pathan
NLTC Perera,Thisara Perera
M Morkel,Morne Morkel
PV Tambe,Pravin Tambe
UT Khawaja,Usman Khawaja
RP Singh,RP Singh
P Sahu,Pardeep Sahu
R Dhawan,Rishi Dhawan
A Ashish Reddy,Ashish Reddy
JW Hastings,John Hastings
SM Boland,Scott Boland
KP Pietersen,Kevin Pietersen
GJ Bailey,George Bailey
JA Morkel,Albie Morkel
KJ Abbott,Kyle Abbott
ER Dwivedi,Eklavya Dwivedi
GB Hogg,Brad Hogg
Parvez Rasool,Parvez Rasool
R Sathish,Rajagopal Sathish
F Behardien,Farhaan Behardien
S Ladda,Sarabjit Ladda
UBT Chand,Unmukt Chand
PSP Handscomb,Peter Handscomb
IC Pandey,Ishwar Pandey
RS Bopara,Ravi Bopara
BE Hendricks,Beuran Hendricks
DJ Muthuswami,Domnic Muthuswami
V Sehwag,Virender Sehwag
MEK Hussey,Michael Hussey
RN ten Doeschate,Ryan ten Doeschate
J Botha,Johan Botha
AN Ahmed,Abu Nechim
MS Bisla,Manvinder Bisla
RG More,Ronit More
M de Lange,Marchant de Lange
J Theron,Rusty Theron
P Suyal,Pawan Suyal
GS Sandhu,Gurinder Sandhu
CM Gautam,Chidhambaram Gautam
NJ Maddinson,Nic Maddinson
PP Ojha,Pragyan Ojha
DJG Sammy,Daren Sammy
Azhar Mahmood,Azhar Mahmood
JH Kallis,Jacques Kallis
L Balaji,Lakshmipathy Balaji
BW Hilfenhaus,Ben Hilfenhaus
KK Cooper,Kevon Cooper
P Awana,Parvinder Awana
DJ Hussey,David Hussey
M Muralitharan,Muthiah Muralidaran
YV Takawale,Yogesh Takawale
CA Pujara,Cheteshwar Pujara
BJ Hodge,Brad Hodge
K Santokie,Krishmar Santokie
Y Venugopal Rao,Venugopal Rao
R Rampaul,Ravi Rampaul
BR Dunk,Ben Dunk
M Manhas,Mithun Manhas
S Rana,Sachin Rana
LRPL Taylor,Ross Taylor
VS Malik,Vikramjeet Malik
AM Nayar,Abhishek Nayar
VH Zol,Vijay Zol
R Sharma,Rahul Sharma
M Kartik,Murali Kartik
DH Yagnik,Dishant Yagnik
S Anirudha,Srikkanth Anirudha
R Dravid,Rahul Dravid
SK Trivedi,Siddharth Trivedi
AC Gilchrist,Adam Gilchrist
SR Tendulkar,Sachin Tendulkar
DPMD Jayawardene,Mahela Jayawardene
SMSM Senanayake,Sachithra Senanayake
BJ Rohrer,Ben Rohrer
A Chandila,Ajit Chandila
CL White,Cameron White
BB Samantray,Biplab Samantray
LJ Wright,Luke Wright
S Sreesanth,Sreesanth
RE van der Merwe,Roelof van der Merwe
B Lee,Brett Lee
DP Nannes,Dirk Nannes
S Badrinath,S Badrinath
BAW Mendis,Ajantha Mendis
KC Sangakkara,Kumar Sangakkara
TL Suman,Tirumalasetti Suman
J Syed Mohammad,Jamaluddin Syed Mohammad
MC Juneja,Manprit Juneja
AG Murtaza,Ali Murtaza
R Shukla,Rahul Shukla
DB Das,Debabrata Das
RJ Harris,Ryan Harris
LA Pomersbach,Luke Pomersbach
Anand Rajan,Anand Rajan
BA Bhatt,Bhargav Bhatt
R McLaren,Ryan McLaren
S Narwal,Sumit Narwal
BMAJ Mendis,Jeevan Mendis
AA Chavan,Ankeet Chavan
JDP Oram,Jacob Oram
RV Gomez,Raiphi Gomez
AB McDonald,Andrew McDonald
KB Arun Karthik,Arun Karthik
OA Shah,Owais Shah
Harmeet Singh,Harmeet Singh
MDKJ Perera,Kusal Perera
B Chipli,Bharat Chipli
LR Shukla,Laxmi Shukla
AD Mascarenhas,Dimitri Mascarenhas
A Mukund,Abhinav Mukund
AB Agarkar,Ajit Agarkar
DB Ravi Teja,Dwaraka Ravi Teja
A Mithun,Abhimanyu Mithun
AL Menaria,Ashok Menaria
M Rawat,Mahesh Rawat
K Upadhyay,Krishnakant Upadhyay
TM Dilshan,Tillakaratne Dilshan
P Dogra,Paras Dogra
UA Birla,Udit Birla
SW Tait,Shaun Tait
RT Ponting,Ricky Ponting
PC Valthaty,Paul Valthaty
X Thalaivan Sargunam,Thalaivan Sargunam
MG Neser,Michael Neser
JEC Franklin,James Franklin
DL Vettori,Daniel Vettori
JD Ryder,Jesse Ryder
SC Ganguly,Sourav Ganguly
V Pratap Singh,Veer Pratap Singh
KMDN Kulasekara,Nuwan Kulasekara
MJ Clarke,Michael Clarke
Y Nagar,Yogesh Nagar
RJ Peterson,Robin Peterson
DE Bollinger,Doug Bollinger
KP Appanna,KP Appanna
AP Majumdar,Anustup Majumdar
AC Thomas,Alfonso Thomas
P Parameswaran,Prasanth Parameswaran
RE Levi,Richard Levi
VY Mahesh,Yo Mahesh
N Saini,Nitin Saini
DJ Harris,Daniel Harris
SD Chitnis,Siddharth Chitnis
AA Jhunjhunwala,Abhishek Jhunjhunwala
DAJ Bracewell,Doug Bracewell
HH Gibbs,Herschelle Gibbs
CJ Ferguson,Callum Ferguson
CJ McKay,Clint McKay
Harpreet Singh,Harpreet Singh
TP Sudhindra,TP Sudhindra
M Kaif,Mohammad Kaif
MD Mishra,Mohnish Mishra
AC Blizzard,Aiden Blizzard
RR Powar,Ramesh Powar
AUK Pathan,Asad Pathan
DJ Jacobs,Davy Jacobs
Sunny Gupta,Sunny Gupta
RR Bhatkal,Raju Bhatkal
SK Warne,Shane Warne
JR Hopes,James Hopes
S Sohal,Sunny Sohal
CK Langeveldt,Charl Langeveldt
S Randiv,Suraj Randiv
A Symonds,Andrew Symonds
SJ Srivastava,Shalabh Srivastava
SB Wagh,Shrikant Wagh
JE Taylor,Jerome Taylor
AM Salvi,Aavishkar Salvi
TR Birt,Travis Birt
R Ninan,Ryan Ninan
JJ van der Wath,Johan van der Wath
M Klinger,Michael Klinger
NL McCullum,Nathan McCullum
AS Raut,Abhishek Raut
AG Paunikar,Amit Paunikar
VVS Laxman,VVS Laxman
BJ Haddin,Brad Haddin
FY Fazal,Faiz Fazal
Y Gnaneswara Rao,Gnaneswara Rao
SS Mundhe,Shrikant Mundhe
GC Smith,Graeme Smith
B Akhil,Balachandra Akhil
SB Styris,Scott Styris
PR Shah,Pinal Shah
SA Asnodkar,Swapnil Asnodkar
NJ Rimmington,Nathan Rimmington
MV Boucher,Mark Boucher
KH Devdhar,Kedar Devdhar
MJ Lumb,Michael Lumb
AA Kazi,Abrar Kazi
RW Price,Ray Price
Joginder Sharma,Joginder Sharma
ND Doshi,Nayan Doshi
P Prasanth,Padmanabhan Prasanth
I Malhotra,Ishan Malhotra
L Ablish,Love Ablish
Kamran Khan,Kamran Khan
S Sriram,Sridharan Sriram
TD Paine,Tim Paine
A Kumble,Anil Kumble
ML Hayden,Matthew Hayden
WPUJC Vaas,Chaminda Vaas
PD Collingwood,Paul Collingwood
SE Bond,Shane Bond
MF Maharoof,Farveez Maharoof
AC Voges,Adam Voges
CRD Fernando,Dilhara Fernando
T Thushara,Thilan Thushara
AP Dole,Aditya Dole
JM Kemp,Justin Kemp
AB Barath,Adrian Barath
Pankaj Singh,Pankaj Singh
ST Jayasuriya,Sanath Jayasuriya
A Uniyal,Amit Uniyal
YA Abdulla,Yusuf Abdulla
S Tyagi,Sudeep Tyagi
B Sumanth,Bodapati Sumanth
DR Martyn,Damien Martyn
KAJ Roach,Kemar Roach
K Goel,Karan Goel
RS Sodhi,Reetinder Sodhi
C Madan,Chandan Madan
RS Gavaskar,Rohan Gavaskar
AA Bilakhia,Azhar Bilakhia
C Ganapathy,Chandrasekar Ganapathy
MB Parmar,Mohnish Parmar
FH Edwards,Fidel Edwards
SM Katich,Simon Katich
MN van Wyk,Morne van Wyk
A Singh,Amit Singh
LA Carseldine,Lee Carseldine
Shoaib Ahmed,Shoaib Ahmed
D du Preez,Dillon du Preez
RJ Quiney,Rob Quiney
WA Mota,Wilkin Mota
A Flintoff,Andrew Flintoff
SM Harwood,Shane Harwood
C Nanda,Chetanya Nanda
GR Napier,Graham Napier
R Bishnoi,Rajesh Bishnoi
T Henderson,Tyron Henderson
W Jaffer,Wasim Jaffer
SS Shaikh,Shoaib Shaikh
SS Sarkar,Sourav Sarkar
RR Raje,Rohan Raje
AN Ghosh,Arindam Ghosh
A Chopra,Aakash Chopra
TM Srivastava,Tanmay Srivastava
L Ronchi,Luke Ronchi
RA Shaikh,Rahil Shaikh
RR Bose,Ranadeb Bose
T Kohli,Taruwar Kohli
SB Bangar,Sanjay Bangar
Mohammad Ashraful,Mohammad Ashraful
Mashrafe Mortaza,Mashrafe Mortaza
SM Pollock,Shaun Pollock
GD McGrath,Glenn McGrath
Sohail Tanvir,Sohail Tanvir
Shahid Afridi,Shahid Afridi
Umar Gul,Umar Gul
M Ntini,Makhaya Ntini
Salman Butt,Salman Butt
SP Fleming,Stephen Fleming
S Vidyut,Vidyut Sivaramakrishnan
Mohammad Asif,Mohammad Asif
DP Vijaykumar,Paidikalva Vijaykumar
Misbah-ul-Haq,Misbah-ul-Haq
Kamran Akmal,Kamran Akmal
Shoaib Akhtar,Shoaib Akhtar
P Amarnath,Palani Amarnath
Mohammad Hafeez,Mohammad Hafeez
Shoaib Malik,Shoaib Malik
D Salunkhe,Dinesh Salunkhe
DJ Thornely,Dominic Thornely
DNT Zoysa,Nuwan Zoysa
D Kalyankrishna,Doddapaneni Kalyankrishna
LPC Silva,Chamara Silva
RR Sarwan,Ramnaresh Sarwan
A Nel,Andre Nel
AS Yadav,Arjun Yadav
MA Khote,Musavir Khote
PM Sarvesh Kumar,PM Sarvesh Kumar
AA Noffke,Ashley Noffke
T Taibu,Tatenda Taibu
SB Joshi,Sunil Joshi
J Arunkumar,Jagadeesh Arunkumar
DT Patil,Devraj Patil
DS Lehmann,Darren Lehmann
S Chanderpaul,Shivnarine Chanderpaul
H Das,Halhadar Das
P Dharmani,Pankaj Dharmani
RV Pawar,Rajesh Pawar
U Kaul,Uday Kaul
VS Yeligati,Vikrant Yeligati
B Geeves,Brett Geeves
Younis Khan,Younis Khan
Abdur Razzak,Abdur Razzak
CK Kapugedera,Chamara Kapugedera
